,Eulers,Eulers improved,RK4
Y(0.4),1.488,1.64009206204518,1.66647306853048
Y(0.8),2.67644877098189,4.1903955065838,4.96500804227512
Y(1),4.10912437571998,11.8788462224885,41.0162581881207
